Descripción,P(C|X),P(C),Epsilon,N(X)
cintura_sextil = 6 (Sextil 6),0.79,0.2,19.82,180
peso_sextil = 6 (Sextil 6),0.71,0.2,16.35,166
peso_act = 5,0.81,0.2,13.62,80
brazo_sextil = 6.0,0.62,0.2,13.6,169
peso1 = 5,0.7,0.2,12.42,100
insulina_sextil = 6 (Sextil 6),0.57,0.2,12.16,178
peso_ehoy = 10.0,0.63,0.2,9.6,81
peso_act >= 4.0,0.35,0.2,9.21,598
peso_act >= 4.0,0.35,0.2,9.21,598
peso_act >= 4.0,0.35,0.2,9.21,598
peso_act >= 4.0,0.35,0.2,9.21,598
peso_act >= 4.0,0.35,0.2,9.21,598
peso5 = 5,0.67,0.2,9.16,61
sistolica >= 130.0,0.43,0.2,7.55,177
diastolica >= 90.0,0.44,0.2,7.03,135
edad_obes_sextil = 2 (Sextil 2),0.53,0.2,6.49,62
dich_hiper = 1,0.42,0.2,6.31,133
hba_sextil = 6.0,0.39,0.2,6.02,164
peso_ehoy = 8.0,0.38,0.2,5.91,183
sistolica >= 120.0,0.31,0.2,5.75,459
sistolica >= 120.0,0.31,0.2,5.75,459
sistolica >= 120.0,0.31,0.2,5.75,459
sistolica = 140,0.49,0.2,5.65,61
aes_peso = 110.0,1.0,0.2,5.63,8
condi_act = 2,0.37,0.2,5.6,189
diastolica = 100,0.63,0.2,5.54,27
aes_peso = 100.0,0.9,0.2,5.5,10
peso10 = 5,0.64,0.2,5.46,25
edad_hiper_sextil = 2 (Sextil 2),0.62,0.2,5.26,26
salud_act = 2,0.47,0.2,5.12,60
