Descripción,P(C|X),P(C),Epsilon,N(X)
peso_act = 3,0.01,0.2,-9.56,419
peso1 = 3,0.04,0.2,-8.65,474
peso_acc = 2,0.01,0.2,-7.29,239
brazo_sextil = 1 (Sextil 1),0.02,0.2,-7.25,246
peso_sextil = 1 (Sextil 1),0.0,0.2,-6.87,187
cintura_sextil = 1.0,0.0,0.2,-6.76,181
peso_ehoy = 5.0,0.05,0.2,-6.17,256
insulina_sextil = 1.0,0.02,0.2,-6.1,185
tgb_sextil = 1 (Sextil 1),0.04,0.2,-5.51,183
hdld_sextil = 6.0,0.04,0.2,-5.41,170
diastolica = 60,0.08,0.2,-4.68,259
AAedad_sextil = 1.0,0.09,0.2,-4.55,267
hba_sextil = 2 (Sextil 2),0.07,0.2,-4.44,177
uric_sextil = 1.0,0.07,0.2,-4.42,191
Aedad_sextil = 1 (Sextil 1),0.08,0.2,-4.17,181
ami1_edad_sextil = 1 (Sextil 1),0.07,0.2,-4.15,166
sistolica = 100,0.1,0.2,-3.97,255
peso5 = 3,0.14,0.2,-3.9,608
salud_act = 5,0.04,0.2,-3.88,95
peso_ehoy = 4.0,0.03,0.2,-3.87,78
salud_act = 4,0.14,0.2,-3.78,536
condi_act = 4,0.12,0.2,-3.78,355
corre_act = 1.0,0.09,0.2,-3.77,187
peso_ehoy = 6.0,0.08,0.2,-3.74,165
condi1 = 5,0.04,0.2,-3.72,90
num_hij = 0.0,0.13,0.2,-3.67,429
peso_act = 2,0.0,0.2,-3.59,51
her1_edad_sextil = 1 (Sextil 1),0.1,0.2,-3.52,191
sistolica = 90,0.05,0.2,-3.49,91
peso5 = 2,0.04,0.2,-3.42,73
