Subcategoría,Factores,Epsilon_Promedio,Max_Pos_Epsilon,Max_Neg_Epsilon,Max_Abs_Epsilon
Sextiles Antropometría,47,0.1106382978723404,19.82,-7.25,19.82
Peso,249,0.4318875502008032,13.62,-9.56,13.62
Sextiles de Laboratorio,139,0.007338129496402879,12.16,-6.1,12.16
Antropometría,88,0.9102272727272728,7.55,-4.68,7.55
Sextiles Edades,72,1.4658333333333333,6.49,-4.55,6.49
Salud,286,0.16332167832167832,6.31,-2.37,6.31
Percepción,131,0.07961832061068702,5.6,-3.88,5.6
Familia,1845,0.018601626016260163,4.22,-3.67,4.22
Ejercicio Actual,38,-0.6789473684210526,4.21,-3.77,4.21
Sextiles Amigos,12,-0.24333333333333343,1.9,-4.15,4.15
Demografía,43,0.48790697674418604,4.09,-3.09,4.09
Ejercicio 1 año atrás,16,-0.8362499999999999,3.98,-3.21,3.98
Ejercicio y Distancias,274,0.12635036496350366,3.92,-3.0,3.92
Amigos,494,-0.04178137651821862,3.87,-2.19,3.87
Ejercicio previo,142,0.04161971830985916,3.8,-3.08,3.8
Sextiles Familia,72,0.3736111111111111,2.39,-3.52,3.52
Hábitos,144,0.017847222222222226,2.95,-2.21,2.95
Sextiles Hábitos,23,-0.24695652173913044,1.37,-2.79,2.79
Ejercicio 5 años atrás,16,-0.421875,2.7,-2.3,2.7
Mascotas,6,-0.63,0.68,-2.68,2.68
Abuelos,16,-0.380625,1.93,-2.5,2.5
Ejercicio 10 años atrás,16,-0.390625,1.69,-2.45,2.45
Lugares Ejercicio,11,-0.22818181818181824,2.3,-2.43,2.43
Ejercicio 20 años atrás,16,-0.308125,2.25,-1.65,2.25
Sextiles Abuelos,48,-0.38999999999999996,1.36,-1.85,1.85
Ejercicio 30 años atrás,16,0.22749999999999998,1.82,-1.19,1.82
Motivación,9,0.33222222222222225,1.55,-0.6,1.55
